timestamp,cpu_cores_busy,rss_mb,network_recv_mb_s,network_send_mb_s,disk_read_mb_s,disk_write_mb_s,num_fds,active_read_tasks,active_rechunk_tasks,active_compute_tasks,active_store_tasks,active_other_tasks,sources_started,sources_finished
1788468359.5300214,0.0,1787.82421875,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0
1788468360.5315413,0.9984823882043832,1791.14453125,0.007077903358004741,0.003420399416380066,0.0,0.0,18.0,0,0,0,0,0,0,0
1788468361.5320983,0.9994433642150681,1859.73828125,0.009452323763772924,0.009452323763772924,0.0,0.0,18.0,0,0,0,0,0,0,0
1788468362.5315094,1.0306069181175501,1975.6484375,1.246753568962893,0.12291517269052162,0.0,0.0,56.0,0,0,0,0,16,0,0
1788468363.5321357,1.9887543921976594,2053.38671875,5.8897942329764295,0.2184176961689387,0.0,5.680036197878879,84.0,0,0,0,0,16,1,0
1788468364.5317826,0.890314368147652,2070.0625,2.320809631124424,0.13367318391451297,0.0,0.00390762977592901,92.0,0,0,0,0,16,1,1
1788468365.5321057,1.979360553371854,2116.13671875,8.27893973270945,0.22194368036105888,0.0,0.027334919258214265,98.0,0,0,0,0,16,2,1
1788468366.5317469,1.2404450964618237,2127.66015625,3.7729726609837484,0.1367372964933449,0.0,0.0,98.0,0,0,0,0,16,3,2
1788468367.5324855,2.1783909951917377,2196.75,11.306300421069986,0.17712575540774983,0.0,0.0,98.0,0,0,0,0,16,3,3
1788468368.532064,1.2805397783107613,2198.39453125,3.755600905991028,0.12463768945573753,0.0,0.0,98.0,0,0,0,0,16,4,3
1788468369.5315034,1.510846863025525,2201.08984375,3.9178635829170796,0.16550280978818227,0.0,0.0039084407673463896,98.0,0,0,0,0,16,5,4
1788468370.532082,1.239282898999254,2205.4140625,2.117460471018991,0.13325037987900581,0.0,0.0,98.0,0,0,0,0,16,5,5
1788468371.5315104,1.7810182575658629,2209.8828125,8.885255537695741,0.17013072335114385,0.0,0.0,98.0,1,0,0,0,15,6,5
1788468372.5315053,1.5700078606998462,2314.9765625,10.855671875264497,0.16729057147550605,0.0,0.16015705187275156,98.0,1,0,5,0,10,6,6
1788468373.532097,2.8283263240013126,2544.0703125,7.078071648161235,0.16955451147616296,0.0,0.13663789385496425,98.0,2,0,0,0,14,7,7
1788468374.5317032,1.2504925283567536,2550.47265625,4.192590274604236,0.1196207078479206,0.0,0.003907789151114855,98.0,0,0,0,0,16,8,7
